Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Vancouver,"Vancouver, BC","Vancouver BC,","South Vancouver, Collingwood, Downtown Eastside, West End Vancouver","South Vancouver Neighbourhood House, Collingwood Neighbourhood House, Watari Counselling and Social,Gordon Neighbourhood House
Services, DTES SRO Collective",781,3489,,"49.263566,-123.138572,""Vancouver BC,"",""Vancouver, BC, CA"",,MapQuest,city/town"
Food & Meals,Surrey,"Surrey, BC","Surrey BC,",Surrey,Sources Community Resources Society (STEWARD),326,1554,,"49.104508,-122.823486,""Surrey BC,"",""Surrey, BC, CA"",,MapQuest,city/town"
Food & Meals,Victoria,"Victoria, BC","Victoria BC,",,,157,565,,"48.4275,-123.367259,""Victoria BC,"",""Victoria, BC, CA"",,MapQuest,city/town"
Food & Meals,Burnaby,"Burnaby, BC","Burnaby BC,",Burnaby,Burnaby Neighbourhood House (South House),121,498,,"49.243163,-122.97418,""Burnaby BC,"",""Burnaby, BC, CA"",,MapQuest,city/town"
Food & Meals,Unknown,"Unknown, BC","Unknown BC,",,,101,457,,"54.144851,-125.380685,""Unknown BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,New Westminster,"New Westminster, BC","New Westminster BC,",,,100,439,,"49.219593,-122.908372,""New Westminster BC,"",""New Westminster, BC, CA"",,MapQuest,city/town"
Food & Meals,Nanaimo,"Nanaimo, BC","Nanaimo BC,",,,87,272,,"49.16438,-123.936657,""Nanaimo BC,"",""Nanaimo, BC, CA"",,MapQuest,city/town"
Food & Meals,Langley,"Langley, BC","Langley BC,",,,74,335,,"49.167503,-122.468357,""Langley BC,"",""Langley, BC, CA"",,MapQuest,city/town"
Food & Meals,North Vancouver,"North Vancouver, BC","North Vancouver BC,",,,68,298,,"49.305438,-123.018909,""North Vancouver BC,"",""North Vancouver, BC, CA"",,MapQuest,city/town"
Food & Meals,Abbotsford,"Abbotsford, BC","Abbotsford BC,",Abbotsford,Archway Community Services,56,233,,"49.102719,-122.354764,""Abbotsford BC,"",""Abbotsford, Fraser Valley, BC, CA"",,MapQuest,city/town"
