Legal name,full_address,Lat,Long
ALBERNI VALLEY SENIOR CITIZENS HOMES SOCIETY,"3245 THIRD AVENUE, PORT ALBERNI, BC, V9Y4C9, CA",49.2365424,-124.8071017
CANADIAN TURFGRASS RESEARCH FOUNDATION,"PO BOX 698, HOPE, BC, V0X1L0, CA",49.379491,-121.4416917
DOWNTOWN BLANSHARD ADVISORY COMMITTEE,"901 KINGS ROAD, VICTORIA, BC, V8T1W5, CA",48.436989,-123.3611764
EAGLE VALLEY SENIOR CITIZENS HOUSING SOCIETY,"1095 SHUSWAP AVE, SICAMOUS, BC, V0E2V1, CA",50.8342092,-118.9847364
BRITISH COLUMBIA SELF ADVOCACY FOUNDATION,"227 6TH STREET, NEW WESTMINSTER, BC, V3L3A5, CA",49.2082328,-122.9138866
ONE WAY CLUB,"22270 NORTH AVENUE, MAPLE RIDGE, BC, V2X2L5, CA",49.2156944,-122.6054216
NORTH COAST COMMUNITY SERVICES SOCIETY,"710 FRASER STREET, PRINCE RUPERT, BC, V8J1P9, CA",54.3103632,-130.3270759
THE GORGE VIEW SOCIETY,"11 CHOWN PL, VICTORIA, BC, V9A1H5, CA",48.4455291,-123.3865609
THE PRESBYTERIAN SENIOR CITIZENS' HOUSING SOCIETY,"101 - 901 COLBORNE ST, NEW WESTMINSTER, BC, V3L5E9, CA",49.2235151,-122.9158599
THORNTON CREEK ENHANCEMENT SOCIETY,"5155 ARGYLE STREET, PORT ALBERNI, BC, V9Y1V3, CA",49.2348233,-124.8099591
DAWSON HEIGHTS HOUSING LTD.,"3710 CEDAR HILL RD, VICTORIA, BC, V8P5V5, CA",48.4622633,-123.3379661
FAMILY SUPPORT INSTITUTE OF BC SOCIETY,"227 6TH ST, NEW WESTMINSTER, BC, V3L3A5, CA",49.2082328,-122.9138866
ADLERIAN PSYCHOLOGY ASSOCIATION OF BRITISH COLUMIBA,"440 - 2184 BROADWAY W, VANCOUVER, BC, V6K2E1, CA",49.2635562,-123.1548734
AGASSIZ-HARRISON HISTORICAL SOCIETY,"PO BOX 313, AGASSIZ, BC, V0M1A0, CA",49.250317,-121.7216431
VANCOUVER AIDS SOCIETY,"401 - 1101 SEYMOUR ST, VANCOUVER, BC, V6B0R1, CA",49.2846693,-123.1128815
ALANO CLUB OF VANCOUVER,"1525 WEST 7TH AVE, VANCOUVER, BC, V6J1S1, CA",49.2655407,-123.1394858
PORT ALBERNI ASSOCIATION FOR COMMUNITY LIVING,"3008-2ND AVENUE, PORT ALBERNI, BC, V9Y1Y9, CA",49.23357360000001,-124.8093259
AMATA TRANSITION HOUSE SOCIETY,"693 MCLEAN ST, QUESNEL, BC, V2J2P7, CA",52.9838856,-122.4966474
AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF BC,"1233-13351 COMMERCE PARKWAY, RICHMOND, BC, V6V2X7, CA",49.172602,-123.072672
OPEN DOOR SOCIAL SERVICES SOCIETY,"900 - 1200 BURRARD ST, VANCOUVER, BC, V6Z2C7, CA",49.278692,-123.1291592
KINDALE DEVELOPMENTAL ASSOCIATION,"BOX 94, ARMSTRONG, BC, V0E1B0, CA",50.4476983,-119.1969938
ARMSTRONG SPALLUMCHEEN MUSEUM AND ARTS SOCIETY,"PO BOX 308, ARMSTRONG, BC, V0E1B0, CA",50.4476983,-119.1969938
ARROW LAKES HISTORICAL SOCIETY,"PO 819, NAKUSP, BC, V0G1R0, CA",50.2398537,-117.8011055
ARROWSMITH HEALTH CARE (2011) SOCIETY,"266B MOILLIET ST, PARKSVILLE, BC, V9P1M9, CA",49.3161332,-124.3229384
ASSOCIATION OF NEIGHBOURHOOD HOUSES OF BRITISH COLUMBIA,"203-3102 MAIN ST, VANCOUVER, BC, V5T3G7, CA",49.25724830000001,-123.1008882
ATCHELITZ THRESHERMENS ASSOCIATION,"44146 LUCKAKUCK WAY, CHILLIWACK, BC, V2R4A7, CA",49.1436071,-122.0016705
ATIRA WOMEN'S RESOURCE SOCIETY,"201 - 190 ALEXANDER ST, VANCOUVER, BC, V6A1B5, CA",49.2840887,-123.0995227
THE BAPTIST HOUSING MINISTRIES SOCIETY,"125 - 6165 17A HWY, DELTA, BC, V4K5B8, CA",49.03471829999999,-123.0585074
BARRIERE AND DISTRICT HERITAGE SOCIETY,"BOX 228, BARRIERE, BC, V0E1E0, CA",51.1824784,-120.1237108
DISABILITY ALLIANCE BC SOCIETY,"1450 - 605 ROBSON ST, VANCOUVER, BC, V6B5J3, CA",49.2883612,-123.1310611
BRITISH COLUMBIA COURTHOUSE LIBRARY SOCIETY,"800 SMITHE ST, VANCOUVER, BC, V6Z2E1, CA",49.2807041,-123.1236827
BC FOSTER PARENTS ASSOCIATION,"208-20641 LOGAN AVE, LANGLEY, BC, V3A7R3, CA",49.105462,-122.6507322
MENTAL HEALTH RECOVERY PARTNERS SOCIETY - SOUTH VANCOUVER ISLAND,"941 KINGS ROAD, VICTORIA, BC, V8T1W7, CA",48.43733049999999,-123.359267
PARENTS SUPPORT SERVICES SOCIETY OF BC,"204-5623 IMPERIAL ST, BURNABY, BC, V5J1G1, CA",49.2222187,-122.981994
SOUTHERN OKANAGAN ASSOCIATION FOR INTEGRATED COMMUNITY LIVING,"PO BOX 138, OLIVER, BC, V0H1T0, CA",49.1823264,-119.550428
BEAVER VALLEY PUBLIC LIBRARY,"BOX 429, FRUITVALE, BC, V0G1L0, CA",49.1137024,-117.5487834
BELLA COOLA VALLEY MUSEUM SOCIETY,"BOX 726, BELLA COOLA, BC, V0T1C0, CA",52.3721277,-126.7539346
BETH TIKVAH CONGREGATION AND CENTRE ASSOCIATION,"9711 GEAL ROAD, RICHMOND, BC, V7E1R4, CA",49.1417935,-123.1714494
BIG BROTHERS BIG SISTERS OF NORTHERN BC SOCIETY,"777 KINSMEN PL, PRINCE GEORGE, BC, V2M6Y7, CA",53.9197669,-122.7924385
