NAME1,full_address,Lat,Long
North Shore Alliance Church,"201 E 23 Street, North Vancouver, V7L3E4",49.329914,-123.068488
Children's Family House Society BC -,"4567 Heather St, Vancouver, V5Z0C9",49.2430077,-123.1213108
Watari Research Association,"200 - 678 E Hastings St, Vancouver, V6A1R1",49.2809247,-123.0900966
Xolhemet Transition House Society,"PO Box 25, Sardis, V2R1A5",0.0,0.0
W I N G S Fellowship Ministries,"501 - 104  1015 Columbia St, New Westminster, V3M6V3",49.2012055,-122.917355
Capilano Community Services Society,"Delbrook Community Ctr North, North Vancouver, V7N2L3",49.3371641,-123.0864553
W I N G S Fellowship Ministries,"501 - 104  1015 Columbia St, New Westminster, V3M6V3",49.2012055,-122.917355
Seabird Island Band,"PO Box 650, Agassiz, V0M1A0",49.250317,-121.7216431
211 British Columbia Services Society,"330-111  Hastings St W, Vancouver, V6B1H4",49.282951,-123.1107848
North Shore Neighbourhood House,"225 2 St E, North Vancouver, V7L1C4",49.3106412,-123.0739475
School District #41 - Burnaby,"5325 Kincaid Street, Burnaby, V5G1W2",49.24884429999999,-122.9871264
School District #43 - Coquitlam,"550 Poirier Street, Coquitlam, V3J6A7",49.2519883,-122.8471507
School District #39 - Vancouver,"1580 West Broadway, Vancouver, V6J5K8",49.2634733,-123.1404688
School District #40 - New Westminster,"811 Ontario Street, New Westminster, V3M0J7",49.2039175,-122.9159406
School District #36 - Surrey,"14033  92 Ave, Surrey, V3V0B7",49.1705885,-122.8337119
School District #37 - Delta,"4585 Harvest Drive, Delta, V4K5B4",49.0861745,-123.0647666
School District #42 - Maple Ridge /,"22225 Brown Avenue, Maple Ridge, V2X8N6",49.22214229999999,-122.6056545
Ray-Cam Community Association,"920 E Hastings St, Vancouver, V6A3T1",49.2807852,-123.0838673
Touchstone Family Association,"120 - 6411 Buswell St, Richmond, V6Y2G5",49.1658823,-123.1338365
HR MacMillan Space Centre - Pacific,"1100 Chestnut Street, Vancouver, V6J3J9",49.27638349999999,-123.1445046
School District #46 - Sunshine Coast,"PO Box 220, Gibsons, V0N1V0",49.3974171,-123.5152222
Fraser Region Aboriginal Friendship,"A101 - 10095 Whalley Boulevard, Surrey, V3T4G1",49.1859074,-122.8438125
North Vancouver Community Arts Council,"335 Lonsdale Ave, North Vancouver, V7M2G3",49.3140507,-123.0767634
UMOJA Operation Compassion Society,"208 - 14888 104 Ave, Surrey, V3R1M4",49.191259,-122.809748
Vancouver Foundation,"200 - 475 W Georgia St, Vancouver, V6B4M9",49.28127929999999,-123.1157736
Archway Community Services,"2420 Montrose Avenue, Abbotsford, V2S3S9",49.0461038,-122.2901085
Ray-Cam Community Association,"920 E Hastings St, Vancouver, V6A3T1",49.2807852,-123.0838673
Kiwassa Neighbourhood Services,"2425 Oxford St, Vancouver, V5K1M7",49.2859829,-123.0555911
Big Brothers & Big Sisters - Langley,"201 20538 Fraser Hwy, Langley, V3A4R3",49.1037154,-122.6533865
Frontier College,"35 Jackes Avenue, Toronto, M4T1E2",43.6852128,-79.39077089999999
Family Education & Support Centre,"22554 Lougheed Highway, Maple Ridge, V2X2V1",49.2169052,-122.597331
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
Red Fox Healthy Living Society,"500 - 610 Main St, Vancouver, V6A2V3",49.2793074,-123.099343
Burnaby Neighbourhood House,"4460 Beresford St, Burnaby, V5H0B8",49.225379,-123.0043059
School District #36 - Surrey,"14033  92 Ave, Surrey, V3V0B7",49.1705885,-122.8337119
Southern Stl'atl'imx Charitable Society,"200 - 100 Park Royal South, West Vancouver, V7A1A2",49.3253134,-123.1336812
School District #35 - Langley,"Attn Employee Chair United Way, Langley, V3A3Z7",0.0,0.0
School District #38 - Richmond,"7811 Granville Avenue, Richmond, V6Y3E3",49.1630684,-123.1395119
School District #44 - North Vancouver,"2121 Lonsdale Ave, North Vancouver, V7M2K6",49.3291934,-123.0726507
SFU - Simon Fraser University,"8888 University Dr,  Attn: Advancement, Burnaby, V5A1S6",49.2770626,-122.9161002
Washington Kids Foundation,"108B - 245 Fell Ave, North Vancouver, V7P2K1",49.3189571,-123.0951876
SFU - Simon Fraser University,"8888 University Dr,  Attn: Advancement, Burnaby, V5A1S6",49.2770626,-122.9161002
Frontier College,"35 Jackes Avenue, Toronto, M4T1E2",43.6852128,-79.39077089999999
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
Boys & Girls Clubs of South Coast BC,"2875 St George St, Vancouver, V5T3R8",49.2588847,-123.0934153
Boys & Girls Clubs of South Coast BC,"2875 St George St, Vancouver, V5T3R8",49.2588847,-123.0934153
Alexandra Neighbourhood House,"2916 McBride Avenue, Surrey, V4A3G2",49.05553370000001,-122.885007
Kateslem Youth Society,"2194 Sunnyside Road, Anmore, V3H4Y4",49.3076847,-122.8607363
Big Brothers & Big Sisters - Langley,"201 20538 Fraser Hwy, Langley, V3A4R3",49.1037154,-122.6533865
Options Community Services Society,"9815 - 140th St, Surrey, V3T4M4",49.18060759999999,-122.8348346
Downtown Eastside Neighbourhood House,"408 - 533 E Hastings St, Vancouver, V6A1P9",49.28109569999999,-123.0951707
Capilano Community Services Society,"Delbrook Community Ctr North, North Vancouver, V7N2L3",49.3371641,-123.0864553
Richmond Addiction Services Society,"105-8080 Andreson Road, Richmond, V6Y0J5",49.16328739999999,-123.1350608
Family Services of Greater Vancouver,"201-1638 Broadway E, Vancouver, V5N1W1",49.2621607,-123.0717935
Friend 2 Friend Social Learning Society,"596 Blueridge Avenue, North Vancouver, V7R2J2",49.35500469999999,-123.0850543
Societe Place Maillardville Society,"1200 Cartier Ave, Coquitlam, V3K2C3",49.2409612,-122.8586449
